"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","w8nwRe","znYl0","Hzvxle","pkWtMe","RfDO5c","RfDO5c 2"
"https://lh3.googleusercontent.com/a-/ALV-UjVSBZUBW6u4rjP__ebeT0mb41Jo-aI9EboMSs9uH5xmrDeBt8Ee=w45-h45-p-rp-mo-ba4-br100","akash dalimbe","Local Guide · 22 reviews · 3 photos","2 weeks ago","Chicken starter are good,but the mutton is below average and not of good quality. The mutton was undercooked and raw,it tasted really awful and also the chops are not that great! Wouldn't recommend the mutton there,only go for chicken and nothing else... Also as per the quality of food offered the rates are extremely high!!!","More","Like","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLxcxSq1vZHgvKIHo2ud8kHFyHjH_TgYjSU_yQQURvwegb2Ew=w45-h45-p-rp-mo-ba4-br100","Sagar Kokare","Local Guide · 48 reviews · 94 photos","4 months ago","Vintage looks of maharashtrian vilage, old marathi songs playing in background, mouth watering nonveg menu, excellent service all make this a five star place.","More","","Like","1","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUfzCsY8_5r2DtEokPv7cKODBLgRf2zEpSa0ExuqoyG48QUIL8NMg=w45-h45-p-rp-mo-ba4-br100","SANDESH VANDRE","Local Guide · 226 reviews · 69 photos","a month ago","Nice atmosphere for Marathi people
Marathi songs + marathi hygiene ambience +good food+ nice service","More","Like","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXpO625PoNvdyos9qZf2zfoan_mLYS7id1fKj_vfMsq2Iz1jW_a=w45-h45-p-rp-mo-ba4-br100","suraj pawar","Local Guide · 70 reviews · 94 photos","9 months ago","After watching so much great reels on the Instagram, we have decided to try this place. After try this place i have to tell only one thing, it is overhyped place. …","More","","Like","4","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVeFNvGwtmm6wrKxbYfrzzHRid4g_z3a16oKPOV5T4gnjkBz727=w45-h45-p-rp-mo-br100","Chetan Badiger","8 reviews · 6 photos","2 months ago","The food was good but there was no hot food every time I needed to ask about hot","More","Like","","","Service…",""
"https://lh3.googleusercontent.com/a-/ALV-UjXMcVhRfQv8BX1wwldrwtMiF1-xRAKc51FIycAE6A8pa3nmJziZ=w45-h45-p-rp-mo-br100","Nandan Patil","8 reviews · 1 photo","5 months ago","Price: 450
Quality: average
Taste: average …","More","Like","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUEQRaSIuBTqy4J0eYsqvkY1CY2HlPcliUEUcWRnIjb7UH-XQ6Y=w45-h45-p-rp-mo-ba4-br100","Hemant Kamalakar","Local Guide · 12 reviews · 247 photos","9 months ago","We recently had the pleasure of dining at the best restaurant in Kolhapur Bhannatvadi, and our experience was nothing short of extraordinary. From the moment we stepped in, the warm ambiance set the stage for an unforgettable culinary …","More","","Like","1","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX9r8jJIkVhHS0nzy9US1iGYlGhN7SQjoOVf192oXANbpQfvhK7uA=w45-h45-p-rp-mo-ba4-br100","Sakshi Pawar","Local Guide · 75 reviews · 328 photos","7 months ago","Best atmosphere.....food quality is very good, tasty. well trained and polite staff.","More","","Like","1","Service…",""
"https://lh3.googleusercontent.com/a-/ALV-UjXjg-b0k-rvi06NdHzFLqwFcHKPrPkXxmsiP4dyWsTUrhaqDVvJ=w45-h45-p-rp-mo-ba5-br100","Kiran Mohite","Local Guide · 122 reviews · 365 photos","10 months ago","Great ambiance....good taste of food....a crowded place.....staff is friendly and helpful..... overall great experience 😃 …","More","","Like","1","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV0H62blQW_iPU-mEtBrCNcmUPk11T-1RzM_CuV6nRh68cSYxZ7=w45-h45-p-rp-mo-br100","Prasad Kagale","1 review","a month ago","This is a place which highlighted through social media, you can consider a lot more quality hotels within in city itself. We ordered here a chicken fry thali, The tambada and pandhra rassa were decent,the quality and quantity of chicken was …","More","Like","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJDsSIUSLzNUXTNvYii4_6ilcsiaX0XKa9Hvr7TwX4eWMriAw=w45-h45-p-rp-mo-ba4-br100","Nitin Parkhi","Local Guide · 78 reviews · 48 photos","4 months ago","Nice and great environment and food is awesome 👌 …","More","","Like","2","Service","Dine in…"
"https://lh3.googleusercontent.com/a/ACg8ocKdV3JAgtG9CInVHQ8HhbREXcIuGBEyxezw8JPwrY3r18eRFQ=w45-h45-p-rp-mo-br100","Amit Dhameja","3 reviews · 6 photos","4 months ago","This is my third visit here. My first dinner experience was very good. My second dinner experience was average. But this third dinner experience was totally too bad . …","More","Like","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWHuryRaOW8xeIosyP7HYVlUD1L7eVb-5WdUGvx1oUYN2ofTYOV=w45-h45-p-rp-mo-ba4-br100","Rishikaysh Vhaval","Local Guide · 62 reviews · 185 photos","2 months ago","Rating it low bcz of all the hype it has... Ambience is so so , the service was too quick and that for me was actually off putting bcz I knew that means there has to be some problem , and there was. …","More","Like","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVNahJd_JefTioC5gsewkPECktz-_mvqbD4aMMTC06dLz11q36Z=w45-h45-p-rp-mo-ba3-br100","Divyesh Thakur","Local Guide · 22 reviews · 37 photos","7 months ago","We ordered Butter Chicken Thali and Veg thali. As for butter chicken only the butter chicken and leg pice was nice apart from that all other items were average quality. Veg thali was overall nice. Service is quick and ambience is nice. …","More","","Like","1","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWNURSRPIRSwMqm4_1FiHzQ5tIfInNDUmy3FrjaAg2yeZxnGsGYnw=w45-h45-p-rp-mo-ba4-br100","Dr. Vilas Jambhulkar","Local Guide · 54 reviews · 277 photos","4 months ago","Must try place for all non-vegetarian foodies.
Must must try mutton chop thali that it.
I loved it there, pandra rassa & solekadi.","More","","Like","1","",""
"https://lh3.googleusercontent.com/a/ACg8ocJvpymINFw4A8yuHomqg-Q2yh-FlEUU0ylelU6ZAuxDSJqfwg=w45-h45-p-rp-mo-br100","Krupa Solankurkar","6 reviews","4 months ago","The 1st time visit to this hotel, I had my own reservations. But all experiences were real good. The food taste down to egg curry was excellent. Shall visit often now.","More","Like","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWxrKjkolOCYe2fa4C5svdZRhYKAzlFPexDTeY5G_XeFXBGPoMu=w45-h45-p-rp-mo-ba4-br100","Sachin Londhe Patil","Local Guide · 77 reviews · 133 photos","a year ago","We ordered Mutton chops thali and it was really worth it.  The hotel is spacious and has a pleasant environment. We enjoyed all types of non veg food here.","More","","Like","3","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUEkbPUhA72k7t9INUMFGQmfB1aO9sF6pWd-IadSWQc3SSJdYN0=w45-h45-p-rp-mo-ba3-br100","Yaseen Naikwadi","Local Guide · 15 reviews · 43 photos","a month ago","First when was visited Mostly 4 Months ago their was excellent food and when was i visited yesterday their was no quality food, hence food was not able to digest Rice quality is quite different","More","Like","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWJaS5MZA_tt5lauZRl0O9CYvV34RaprzW9gT1_QC9NDfkyPOg=w45-h45-p-rp-mo-br100","Pratik Rajendra Potdar","2 reviews · 7 photos","4 months ago","Nice place.
Food quality is excellent .
Good service.","More","Like","","","5…","Food:"
"https://lh3.googleusercontent.com/a-/ALV-UjV7JXo2ZOGsvFNoqVmF6IEEyWeRKtN46rlcYipdHlRayDMcGEIj=w45-h45-p-rp-mo-ba3-br100","Amit Hade","Local Guide · 62 reviews · 23 photos","5 months ago","We went here for lunch, very hot no ac nothing is there. They tried to keep the place which look like village but I have not found this place good as such. …","More","Like","","","",""
